City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
South Fork,866,0,0,0,0,0,0,0,0,0,0
South Greensburg,"2,042",5,0,0,0,5,19,2,17,0,0
South Heights,457,0,0,0,0,0,0,0,0,0,0
South Londonderry Township,"7,807",12,1,2,1,8,50,8,42,0,0
South Pymatuning Township,"2,615",0,0,0,0,0,2,1,1,0,0
South Strabane Township,"9,561",13,0,1,6,6,543,12,525,6,0
Southwestern Regional,"17,774",23,0,17,0,6,99,13,82,4,0
"Southwest Regional, Fayette County","7,688",5,0,0,0,5,62,17,42,3,0
"Southwest Regional, Greene County","2,639",0,0,0,0,0,14,1,13,0,0
South Whitehall Township,"19,797",9,0,1,4,4,660,45,596,19,1
South Williamsport,"6,261",9,0,2,1,6,93,5,88,0,0
Springdale,"3,369",11,0,1,0,10,37,4,32,1,1
Springettsbury Township,"26,931",36,0,7,12,17,963,35,907,21,0
"Springfield Township, Delaware County","24,438",15,0,1,5,9,690,43,638,9,2
"Springfield Township, Montgomery County","19,603",22,0,2,3,17,148,13,129,6,0
Spring Garden Township,"12,977",43,1,2,17,23,481,77,368,36,1
"Spring Township, Berks County","27,517",15,0,1,5,9,291,31,254,6,0
"Spring Township, Centre County","7,693",2,0,0,0,2,36,1,35,0,0
State College,"58,119",39,0,8,10,21,491,35,447,9,3
St. Clair Township,"1,464",0,0,0,0,0,3,0,2,1,0
Steelton,"5,921",78,0,5,10,63,206,31,149,26,2
Stockertown,914,0,0,0,0,0,0,0,0,0,0
Stoneboro,"1,008",0,0,0,0,0,0,0,0,0,0
Stowe Township,"6,247",16,0,0,3,13,209,28,168,13,0
Strasburg,"2,925",3,0,1,0,2,18,2,15,1,0
Stroud Area Regional,"34,242",84,9,7,28,40,979,93,855,31,3
Sugarcreek,"5,085",5,0,0,0,5,45,19,25,1,0
"Sugarloaf Township, Luzerne County","4,111",3,0,0,0,3,48,6,40,2,0
Summerhill Township,"2,354",0,0,0,0,0,29,9,20,0,2
Summit Township,"2,184",0,0,0,0,0,0,0,0,0,0
Sunbury,"9,607",78,0,11,3,64,266,56,194,16,3
Susquehanna,"1,543",2,0,0,0,2,0,0,0,0,0
Susquehanna Regional,"8,334",8,0,1,1,6,109,8,99,2,4
"Susquehanna Township, Dauphin County","24,846",48,0,3,15,30,320,50,258,12,3
Swarthmore,"6,214",5,0,0,0,5,56,8,48,0,0
Swatara Township,"24,916",77,2,6,21,48,894,76,805,13,9
Swissvale,"8,829",30,0,0,12,18,220,65,141,14,0
Swoyersville,"4,969",4,0,0,0,4,90,18,71,1,0
Sykesville,"1,131",0,0,0,0,0,0,0,0,0,0
Tamaqua,"6,777",10,0,1,0,9,188,38,143,7,1
Tarentum,"4,449",30,0,0,6,24,107,14,88,5,0
Tatamy,"1,128",0,0,0,0,0,2,0,2,0,0
Taylor,"5,979",55,1,1,2,51,150,31,116,3,1
Terre Hill,"1,399",1,0,0,0,1,5,2,3,0,0
Throop,"3,934",8,0,1,0,7,55,10,43,2,0
Tiadaghton Valley Regional,"6,554",12,0,4,1,7,90,7,83,0,0
Tidioute,670,2,0,0,0,2,0,0,0,0,0
"Tinicum Township, Bucks County","3,957",0,0,0,0,0,13,5,8,0,0
"Tinicum Township, Delaware County","4,113",17,0,0,6,11,136,8,114,14,0
Tioga,661,2,0,1,0,1,2,0,2,0,0
Titusville,"5,349",10,0,1,1,8,97,17,80,0,0
Towamencin Township,"18,409",6,0,0,1,5,139,18,121,0,1
Towanda,"2,792",12,0,2,0,10,89,6,83,0,1
Trainer,"1,847",9,0,0,3,6,51,5,46,0,0
Tredyffrin Township,"29,601",22,1,2,6,13,220,25,185,10,1
Troy,"1,259",5,0,1,1,3,29,4,25,0,0
Tullytown,"1,856",1,0,0,0,1,25,0,25,0,0
Tulpehocken Township,"3,309",1,0,0,0,1,4,1,3,0,0
"Tunkhannock Township, Wyoming County","6,254",7,0,0,1,6,44,10,34,0,0
Turtle Creek,"5,257",7,0,0,1,6,10,1,7,2,0
Tyrone,"5,330",21,0,1,2,18,100,7,93,0,0
Union City,"3,197",0,0,0,0,0,68,22,45,1,0
Uniontown,"9,919",32,2,2,17,11,292,47,235,10,0
"Union Township, Lawrence County","4,985",12,0,0,0,12,134,5,129,0,0
Upland,"3,254",47,0,0,4,43,113,22,85,6,0
Upper Allen Township,"19,815",0,0,0,0,0,139,20,117,2,2
Upper Burrell Township,"2,260",0,0,0,0,0,22,4,16,2,0
Upper Chichester Township,"17,054",50,1,2,20,27,337,29,290,18,2
Upper Darby Township,"82,896",386,6,9,207,164,"1,354",140,"1,094",120,6
Upper Dublin Township,"26,333",11,0,3,5,3,222,18,191,13,1
Upper Gwynedd Township,"15,999",13,0,1,0,12,64,3,60,1,0
Upper Leacock Township,"8,902",7,0,0,2,5,67,11,51,5,0
Upper Macungie Township,"23,396",11,0,1,4,6,226,23,191,12,0
Upper Makefield Township,"8,267",2,0,2,0,0,79,8,71,0,0
Upper Merion Township,"28,661",15,0,2,10,3,"1,147",54,"1,073",20,0
Upper Moreland Township,"24,270",15,0,1,6,8,377,24,334,19,3
Upper Nazareth Township,"6,795",5,0,1,0,4,24,3,20,1,0
Upper Perkiomen,"6,869",9,0,2,2,5,93,16,70,7,2
Upper Pottsgrove Township,"5,511",5,0,0,1,4,44,6,37,1,0
"Upper Providence Township, Delaware County","10,510",0,0,0,0,0,73,6,66,1,0
"Upper Providence Township, Montgomery County","23,927",5,0,0,4,1,290,18,263,9,0
Upper Saucon Township,"16,451",10,0,1,0,9,109,20,85,4,0
Upper Southampton Township,"15,114",9,0,1,3,5,115,27,81,7,1
Upper St. Clair Township,"19,726",3,0,0,0,3,126,8,117,1,0
Upper Uwchlan Township,"11,603",2,0,0,2,0,56,10,45,1,0
